ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Сукало Валентин Олегович,07-000-00-02,председатель,включить,состав президиума,бессрочно,
Мирониченко Иван Алексеевич,07-000-00-02,заместитель председателя,включить,состав президиума,бессрочно,
Пташник Владимир Николаевич,07-000-00-02,заместитель председателя,включить,состав президиума,бессрочно,
Царенко Евгений Михайлович,07-000-00-02,заместитель председателя,включить,состав президиума,бессрочно,
Бебенин Николай Валентинович,07-000-00-02,судья,включить,состав президиума,бессрочно,
Герменчук Николай Иванович,07-000-00-02,судья,включить,состав президиума,бессрочно,
Кашко Михаил Михайлович,07-000-00-02,судья,включить,состав президиума,бессрочно,
Ничипорович Александр Александрович,07-000-00-02,судья,включить,состав президиума,бессрочно,
Русакович Василий Лукьянович,07-000-00-02,судья,включить,состав президиума,бессрочно,
Санько Наталья Захаровна,07-000-00-02,судья,включить,состав президиума,бессрочно,
Чертович Виктор Петрович,07-000-00-02,судья,включить,состав президиума,бессрочно,



