ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Михаленко Светлана Валентиновна,01-007-03-01,судья по административным делам,назначен,,бессрочно,
Атрашкевич Владимир Петрович,02-003-03-01,судья и председатель,назначен,,бессрочно,
Бессмертный Владимир Андреевич,02-002-03-03,судья и председатель,назначен,,бессрочно,
Боднарчук Альбина Леонидовна,02-003-03-01,судья,назначен,,бессрочно,
Демух Татьяна Ивановна,суд г.Орши,судья,назначен,,бессрочно,
Дмитриев Владимир Васильевич,суд г.Орши,судья,назначен,,бессрочно,
Каретникова Антонина Ивановна,суд г.Орши,судья и председатель,назначен,,бессрочно,
Барановский Александр Иванович,03-010-03-01,судья и председатель,назначен,,бессрочно,
Владыко Ирина Дмитриевна,03-001-03-01,судья,назначен,,бессрочно,
Калугин Аркадий Васильевич,03-002-03-04,судья,назначен,,бессрочно,
Кулькова Таисья Дмитриевна,03-018-03-01,судья,назначен,,бессрочно,
Лукашенко Валентина Николаевна,03-004-03-01,судья,назначен,,бессрочно,
Малашенко Виктор Сергеевич,суд Жлобинского района и г.Жлобина,судья и председатель,назначен,,бессрочно,
Клус Алина Алексеевна,05-003-03-01,судья и председатель,назначен,,бессрочно,
Микулич Сергей Иванович,05-005-03-01,судья и председатель,назначен,,бессрочно,
Моняк Геннадий Александрович,05-015-03-01,судья и председатель,назначен,,бессрочно,
Нестеров Валерий Григорьевич,суд Слуцкого района и г.Слуцка,судья и председатель,назначен,,бессрочно,
Рогаль Владимир Николаевич,суд Солигорского района и г.Солигорска,судья,назначен,,бессрочно,
Шалоха Роман Евгеньевич,суд г.Молодечно,судья и председатель,назначен,,бессрочно,
































